Locations of bus and train stops of station-visits,time of day of station-visits,action at this station,number of station-visits per day
Aft Teban Gdns Rd,15:00,alighting,6.451612903225806
Aft Teban Gdns Rd,15:00,boarding,3.225806451612903
Aft Teban Gdns Rd,15:30,alighting,4.838709677419355
Aft Teban Gdns Rd,15:30,boarding,9.67741935483871
Aft Teban Gdns Rd,15:30,interchanging,1.6129032258064515
Aft Teban Gdns Rd,16:00,alighting,1.6129032258064515
Aft Teban Gdns Rd,16:00,boarding,11.290322580645162
Aft Teban Gdns Rd,16:30,alighting,12.903225806451612
Aft Teban Gdns Rd,16:30,boarding,6.451612903225806
Aft Teban Gdns Rd,16:30,interchanging,1.6129032258064515
Aft Teban Gdns Rd,17:00,alighting,16.129032258064516
Aft Teban Gdns Rd,17:00,boarding,14.516129032258064
Aft Teban Gdns Rd,17:00,interchanging,1.6129032258064515
Aft Teban Gdns Rd,17:30,alighting,12.903225806451612
Aft Teban Gdns Rd,17:30,boarding,14.516129032258064
Aft Teban Gdns Rd,18:00,alighting,11.290322580645162
Aft Teban Gdns Rd,18:00,boarding,8.064516129032258
Aft Teban Gdns Rd,18:30,alighting,16.129032258064516
Aft Teban Gdns Rd,18:30,boarding,14.516129032258064
Aft Teban Gdns Rd,19:00,alighting,17.741935483870968
Aft Teban Gdns Rd,19:00,boarding,6.451612903225806
Aft Teban Gdns Rd,19:30,alighting,22.580645161290324
Aft Teban Gdns Rd,19:30,boarding,9.67741935483871
Aft Teban Gdns Rd,20:00,alighting,12.903225806451612
Aft Teban Gdns Rd,20:00,boarding,4.838709677419355
Aft Teban Gdns Rd,20:30,alighting,17.741935483870968
Aft Teban Gdns Rd,20:30,boarding,6.451612903225806
Aft Teban Gdns Rd,21:00,alighting,17.741935483870968
Aft Teban Gdns Rd,21:00,boarding,3.225806451612903
Aft Teban Gdns Rd,21:30,alighting,30.64516129032258
Aft Teban Gdns Rd,21:30,boarding,8.064516129032258
Aft Teban Gdns Rd,22:00,alighting,17.741935483870968
Aft Teban Gdns Rd,22:00,boarding,4.838709677419355
Aft Teban Gdns Rd,22:30,alighting,24.193548387096776
Aft Teban Gdns Rd,22:30,boarding,3.225806451612903
Aft Teban Gdns Rd,22:30,interchanging,1.6129032258064515
Aft Teban Gdns Rd,23:00,alighting,12.903225806451612
Aft Teban Gdns Rd,23:00,boarding,3.225806451612903
Aft Teban Gdns Rd,23:30,alighting,9.67741935483871
Aft Teban Gdns Rd,23:30,boarding,1.6129032258064515
Ayer Rajah CC,00:00,alighting,4.838709677419355
Ayer Rajah CC,00:30,alighting,1.6129032258064515
Ayer Rajah CC,05:30,boarding,6.451612903225806
Ayer Rajah CC,06:00,alighting,4.838709677419355
Ayer Rajah CC,06:00,boarding,12.903225806451612
Ayer Rajah CC,06:30,alighting,8.064516129032258
Ayer Rajah CC,06:30,boarding,19.35483870967742
Ayer Rajah CC,06:30,interchanging,1.6129032258064515
Ayer Rajah CC,07:00,alighting,4.838709677419355
Ayer Rajah CC,07:00,boarding,9.67741935483871
Ayer Rajah CC,07:00,interchanging,1.6129032258064515
Ayer Rajah CC,07:30,alighting,8.064516129032258
Ayer Rajah CC,07:30,boarding,9.67741935483871
Ayer Rajah CC,08:00,alighting,17.741935483870968
Ayer Rajah CC,08:00,boarding,12.903225806451612
Ayer Rajah CC,08:30,alighting,9.67741935483871
Ayer Rajah CC,08:30,boarding,4.838709677419355
Ayer Rajah CC,09:00,alighting,4.838709677419355
Ayer Rajah CC,09:00,boarding,3.225806451612903
Ayer Rajah CC,09:30,alighting,8.064516129032258
Ayer Rajah CC,09:30,boarding,6.451612903225806
Ayer Rajah CC,10:00,alighting,8.064516129032258
Ayer Rajah CC,10:00,boarding,3.225806451612903
Ayer Rajah CC,10:30,alighting,14.516129032258064
Ayer Rajah CC,10:30,boarding,3.225806451612903
Ayer Rajah CC,11:00,alighting,8.064516129032258
Ayer Rajah CC,11:00,boarding,6.451612903225806
Ayer Rajah CC,11:30,alighting,8.064516129032258
Ayer Rajah CC,11:30,boarding,1.6129032258064515
Ayer Rajah CC,12:00,alighting,11.290322580645162
Ayer Rajah CC,12:00,boarding,3.225806451612903
Ayer Rajah CC,12:30,alighting,8.064516129032258
Ayer Rajah CC,12:30,boarding,8.064516129032258
Ayer Rajah CC,13:00,alighting,8.064516129032258
Ayer Rajah CC,13:00,boarding,6.451612903225806
Ayer Rajah CC,13:30,alighting,8.064516129032258
Ayer Rajah CC,13:30,boarding,14.516129032258064
Ayer Rajah CC,14:00,alighting,11.290322580645162
Ayer Rajah CC,14:00,boarding,8.064516129032258
Ayer Rajah CC,14:30,alighting,14.516129032258064
Ayer Rajah CC,14:30,boarding,3.225806451612903
Ayer Rajah CC,15:00,alighting,9.67741935483871
Ayer Rajah CC,15:30,alighting,9.67741935483871
Ayer Rajah CC,15:30,boarding,4.838709677419355
Ayer Rajah CC,16:00,alighting,14.516129032258064
Ayer Rajah CC,16:00,boarding,4.838709677419355
Ayer Rajah CC,16:30,alighting,9.67741935483871
Ayer Rajah CC,16:30,boarding,12.903225806451612
Ayer Rajah CC,17:00,alighting,24.193548387096776
Ayer Rajah CC,17:00,boarding,11.290322580645162
Ayer Rajah CC,17:30,alighting,22.580645161290324
Ayer Rajah CC,17:30,boarding,3.225806451612903
Ayer Rajah CC,18:00,alighting,22.580645161290324
Ayer Rajah CC,18:00,boarding,11.290322580645162
Ayer Rajah CC,18:30,alighting,33.87096774193548
Ayer Rajah CC,18:30,boarding,8.064516129032258
Ayer Rajah CC,19:00,alighting,29.032258064516128
Ayer Rajah CC,19:00,boarding,6.451612903225806
Ayer Rajah CC,19:30,alighting,20.967741935483872
Ayer Rajah CC,19:30,boarding,1.6129032258064515
Ayer Rajah CC,19:30,interchanging,1.6129032258064515
Ayer Rajah CC,20:00,alighting,30.64516129032258
Ayer Rajah CC,20:00,boarding,6.451612903225806
Ayer Rajah CC,20:30,alighting,11.290322580645162
Ayer Rajah CC,20:30,boarding,1.6129032258064515
Ayer Rajah CC,21:00,alighting,11.290322580645162
Ayer Rajah CC,21:00,boarding,1.6129032258064515
Ayer Rajah CC,21:30,alighting,16.129032258064516
Ayer Rajah CC,21:30,boarding,1.6129032258064515
Ayer Rajah CC,22:00,alighting,17.741935483870968
Ayer Rajah CC,22:30,alighting,11.290322580645162
Ayer Rajah CC,22:30,boarding,1.6129032258064515
Ayer Rajah CC,23:00,alighting,16.129032258064516
Ayer Rajah CC,23:00,boarding,1.6129032258064515
Ayer Rajah CC,23:30,alighting,11.290322580645162
Ayer Rajah CC,23:30,boarding,1.6129032258064515
Bef Hasanah Mque,00:00,alighting,30.64516129032258
Bef Hasanah Mque,00:00,boarding,1.6129032258064515
Bef Hasanah Mque,00:30,alighting,9.67741935483871
Bef Hasanah Mque,01:00,alighting,1.6129032258064515
Bef Hasanah Mque,01:00,boarding,1.6129032258064515
Bef Hasanah Mque,05:30,boarding,37.096774193548384
Bef Hasanah Mque,06:00,alighting,11.290322580645162
Bef Hasanah Mque,06:00,boarding,64.51612903225806
Bef Hasanah Mque,06:30,alighting,14.516129032258064
Bef Hasanah Mque,06:30,boarding,98.38709677419355
Bef Hasanah Mque,07:00,alighting,14.516129032258064
Bef Hasanah Mque,07:00,boarding,95.16129032258064
Bef Hasanah Mque,07:30,alighting,45.16129032258065
Bef Hasanah Mque,07:30,boarding,93.54838709677419
Bef Hasanah Mque,08:00,alighting,33.87096774193548
Bef Hasanah Mque,08:00,boarding,51.61290322580645
Bef Hasanah Mque,08:30,alighting,27.419354838709676
Bef Hasanah Mque,08:30,boarding,46.774193548387096
