"shapeid","x","y"
"15","103.751973095","1.34004899873"
"15","103.751966233","1.34005302563"
"15","103.751959388","1.3400570878"
"15","103.751952544","1.34006115088"
"15","103.751945699","1.34006521305"
"15","103.751938871","1.3400693105"
"15","103.751932045","1.34007340794"
"15","103.751925218","1.34007750629"
"15","103.751918409","1.34008160463"
"15","103.751911598","1.34008573644"
"15","103.751904807","1.34008986916"
"15","103.751898016","1.34009400278"
"15","103.751891223","1.34009817076"
"15","103.751884431","1.34010233965"
"15","103.751877656","1.34010650764"
"15","103.751870882","1.34011067562"
"15","103.751864125","1.34011487978"
"15","103.751857368","1.34011908304"
"15","103.751850611","1.3401232872"
"15","103.751843872","1.34012752572"
"15","103.751837132","1.34013176515"
"15","103.751830393","1.34013600368"
"15","103.751823671","1.34014024311"
"15","103.751816949","1.34014451691"
"15","103.751810228","1.34014879071"
"15","103.751803524","1.34015306541"
"15","103.75179682","1.34015737538"
"15","103.751790115","1.34016168535"
"15","103.751783429","1.34016599442"
"15","103.75177676","1.3401703044"
"15","103.751770072","1.34017464873"
"15","103.751763404","1.34017899398"
"15","103.751756735","1.34018333922"
"15","103.751750083","1.34018771974"
"15","103.751743431","1.34019209935"
"15","103.751736781","1.34019647986"
"15","103.751730128","1.34020086037"
"15","103.751723494","1.34020527616"
"15","103.751716878","1.34020969104"
"15","103.751710261","1.34021410683"
"15","103.75147484","1.34037169151"
"15","103.751149563","1.34058939884"
"15","103.750686041","1.34089962235"
"15","103.750679107","1.34090424883"
"15","103.750672193","1.34090887804"
"15","103.75066526","1.34091350543"
"15","103.75065831","1.34091809755"
"15","103.750651377","1.34092268967"
"15","103.750644427","1.34092731707"
"15","103.750637478","1.34093190919"
"15","103.75063051","1.34093646604"
"15","103.75062356","1.34094105816"
"15","103.750616593","1.34094565028"
"15","103.750609626","1.34095020804"
"15","103.750602658","1.34095476489"
"15","103.750595672","1.34095932174"
"15","103.750588705","1.34096387859"
"15","103.75058172","1.34096840017"
"15","103.750574736","1.34097295702"
"15","103.750567732","1.3409774786"
"15","103.750560746","1.34098200018"
"15","103.750553745","1.34098648649"
"15","103.750546725","1.34099100807"
"15","103.750539722","1.34099552965"
"15","103.750533562","1.34099948603"
"15","103.750527384","1.34100340714"
"15","103.750521206","1.34100736352"
"15","103.750515029","1.3410113199"
"15","103.750508851","1.34101524101"
"15","103.750502656","1.34101916212"
"15","103.750496477","1.34102308323"
"15","103.750490283","1.34102700434"
"15","103.750484087","1.34103092454"
"15","103.750477892","1.34103484565"
"15","103.750471679","1.34103873059"
"15","103.750465467","1.3410426526"
"15","103.750459271","1.34104653753"
"15","103.750453058","1.34105042337"
"15","103.750446845","1.34105431012"
"15","103.750440633","1.34105819595"
"15","103.750434402","1.34106204652"
"15","103.75042819","1.34106593146"
"15","103.750421959","1.34106978202"
"15","103.750415728","1.34107363169"
"15","103.750409499","1.34107748406"
"15","103.750403266","1.34108133373"
"15","103.750397019","1.34108518339"
"15","103.750390789","1.34108903305"
"15","103.750384542","1.34109285016"
"15","103.750378294","1.34109669982"
"15","103.750372046","1.34110051512"
"15","103.75036578","1.34110432951"
"15","103.750359532","1.34110814481"
"15","103.750353268","1.3411119601"
"15","103.750347019","1.34111574013"
"15","103.750340754","1.34111955452"
"15","103.750334471","1.34112333454"
"15","103.750328205","1.34112711457"
"15","103.750321922","1.34113092896"
"15","103.750315658","1.34113467372"
"15","103.750309374","1.34113845374"
"15","103.750303091","1.34114223286"
"15","103.750296808","1.34114597762"
"15","103.750290507","1.34114975764"
"15","103.750284224","1.34115350059"
"15","103.749679029","1.34151357209"
"15","103.749681855","1.34151861582"
"15","103.74970925","1.3415675157"
"15","103.750012469","1.3421086882"
"15","103.750046486","1.34216466043"
"15","103.750084359","1.34221807343"
"15","103.750087135","1.34222163672"
"15","103.750135539","1.34228368676"
"15","103.750188066","1.34234821399"
"15","103.750241906","1.34241163975"
"15","103.75029703","1.34247391611"
"15","103.750353431","1.34253505301"
"15","103.750411098","1.34259497811"
"15","103.750575705","1.34275465272"
"15","103.75195217","1.34197841614"
"15","103.752570138","1.34162086133"
"15","103.752647256","1.34158645015"
"15","103.75270998","1.34156555962"
"15","103.752790996","1.34154846893"
