FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,Total_Leng,Shape_Leng
57,1,- Location 57,1,1,9377,1717.1662321362096,1717.1683937584141
57,1,- Location 57,2,1,9378,5837.753041453794,5837.760394351138
57,1,- Location 57,1,1,9379,5806.0547547740425,5806.062066652371
57,1,- Location 57,2,1,9380,5982.103432728628,5982.110853864962
57,1,THE WARREN - Location 57,2,1,9381,6562.109050364735,6562.117281203989
57,1,- Location 57,1,1,9382,7002.152271094884,7002.160925316804
57,1,- Location 57,1,1,9383,7107.216601167637,7107.2253474592835
64,1,- Location 64,2,2,9386,351.71752962838804,351.71799743163376
57,1,- Location 57,1,1,9387,1693.6444044351083,1693.6465468857498
57,1,- Location 57,1,1,9388,2897.021452864943,2897.0251876480997
57,1,- Location 57,2,1,9389,5734.81400173453,5734.821143291863
57,1,- Location 57,2,1,9390,5703.801749583185,5703.808905233428
57,1,- Location 57,1,1,9391,5711.210980448215,5711.218118378732
57,1,- Location 57,1,1,9392,6987.596333811511,6987.604932257229
57,1,- Location 57,2,1,9393,7113.312005683773,7113.32072288754
57,1,- Location 57,1,1,9394,7135.847187676311,7135.855922926712
57,1,- Location 57,1,2,9397,1105.573927373283,1105.575370762538
57,1,- Location 57,1,2,9398,998.2154744621582,998.216778717162
57,1,- Location 57,1,2,9399,1032.977070359685,1032.9784276045839
57,1,- Location 57,1,1,9400,1636.7101202254094,1636.7122232422726
57,1,- Location 57,2,1,9401,5628.535611911188,5628.54268322563
57,1,- Location 57,2,1,9402,5694.979690551685,5694.986775287328
57,1,- Location 57,1,1,9403,5647.616641602329,5647.623748940091
57,1,- Location 57,2,1,9404,5638.20037181374,5638.2073913077165
57,1,- Location 57,2,1,9405,5809.884636863011,5809.891930796247
57,1,NORTHVALE - Location 57,2,1,9406,6248.227597731631,6248.235352995048
57,1,- Location 57,1,1,9408,1139.280734480245,1139.2822205167213
57,1,- Location 57,2,1,9409,3140.766805165445,3140.7707907701897
57,1,- Location 57,1,1,9410,3112.2603882440485,3112.264423567343
57,1,- Location 57,1,1,9411,3134.7797850483107,3134.7837374148257
57,1,- Location 57,1,1,9412,5617.291209036294,5617.29823961671
57,1,- Location 57,2,1,9413,5610.084420918679,5610.091427969321
57,1,- Location 57,2,1,9414,5561.208633392354,5561.215551778988
57,1,- Location 57,1,1,9415,5566.614713076327,5566.621699914202
57,1,- Location 57,1,1,9416,5568.90225689489,5568.909184769928
57,1,- Location 57,1,1,9417,5561.030624754057,5561.037584943687
57,1,- Location 57,2,1,9418,5805.766860302109,5805.774102813265
57,1,- Location 57,1,1,9419,6014.073211804332,6014.0806764810995
57,1,- Location 57,2,1,9420,7282.994362707663,7283.003323596888
64,1,- Location 64,2,1,9424,688.9736818537438,688.9744914243668
57,1,- Location 57,1,2,9425,1344.6277285329043,1344.629445990123
57,1,- Location 57,1,2,9426,1293.9453243044672,1293.9469855425618
57,1,- Location 57,1,1,9427,1391.0100415539357,1391.0118826862772
57,1,- Location 57,2,1,9428,1918.1222372343375,1918.1247564460991
57,1,- Location 57,1,1,9429,3160.339168211651,3160.3431604580946
57,1,- Location 57,1,1,9430,3224.0242538113284,3224.028354755129
57,1,- Location 57,1,1,9431,5523.958094615949,5523.964962622615
57,1,- Location 57,2,1,9432,5427.210625876733,5427.217377240847
57,1,- Location 57,2,1,9433,5489.07944466775,5489.086275242563
57,1,PALM GARDENS - Location 57,1,1,9434,5467.966246710038,5467.973114623124
57,1,- Location 57,2,1,9435,5506.430016649464,5506.436968992508
57,1,- Location 57,1,1,9436,5667.536387201178,5667.54345563595
